record_id;redcap_survey_identifier;cuestionario_final_pilotaje_plataforma_timestamp;satisfaccion;dispositivo;porque_elegido;utilizado_antes;ejemplo;plan;porque;beneficio;aspecto_concreto;recomendar;familiar;mi_progreso;valorar_figura;figura_progresion;figura_sugerencias;fichas_1;fichas_1_progresion;fichas_1_sugerencias;valoracion_fichas_2;progresion_fichas_2;fichas_2_sugerencias;valoracion_dibujo;progresion_dibujo;sugerencias_dibujo;valoracion_parejas;progresion_parejas;parejas_sugerencias;valoracion_simon;progresion_simon;sugerencias_simon;valoracion_cartas;progresion_cartas;sugerencias_cartas;valoracion_escenas;progresion_escenas;escenas_misma;escenas_sugerencias;valoracion_sopa;progresion_sopa;sugerencias_sopa;valoracion_anagramas;progresion_anagramas;sugerencias_anagramas;valoracion_logogramas;progresion_logogramas;sugerencias_logogramas;valoracion_refran;progresion_refran;refran_sugerencias;valoracion_secuencia_cartas;progresion_secuencia_cartas;secuencia_cartas_sugerencias;valoracion_secuencia;progresion_secuencia;secuencia_sugerencias;valoracion_calculo;progresion_calculo;secuencia_calculo;sugerencias_global;segunda_fase;cuestionario_final_pilotaje_plataforma_complete
1;CPDC4474;"2022-07-11 18:48:12";4;0;"Me resultaba más cómodo porque podía hacerlo en cualquier lugar, pero es cierto que suponía un hándicap en algunos ejercicios ya que se perdía calidad e incluso no se visualizaba la pantalla al completo.";0;"He utilizado otras plataformas a nivel laboral durante mis años de dedicación a la geriatría con los usuarios como Gradior o Smartbrain, pero nunca lo había utilizado para mí. ";3;"Me ha parecido un programa muy útil y poco infantil izado, a diferencia de otros que ya conocía. Ha generado en mí el interés por este tipo de ejercicios.";0;"Entiendo que ha sido una forma de estimulación cognitiva que considero necesaria, pero no puedo concretar mejorías.";0;1;2;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;0;"Dificultad en formato móvil.";3;3;"Dificultad en el formato móvil, en los niveles superiores había ocasión en las que no se veía la sopa de letras entera.";3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;"Mejorar la adaptación al formato móvil. ";0;2
2;CPDC8564;"2022-07-12 01:13:01";4;0;"Disponibilidad en cualquier momento y escenario";1;;4;"Me ayuda a conquistar mi voluntad, constancia, esfuerzo y me genera una concentración que es bienestar mental";0;"Veo más al mirar escenas, me hace ser más creativo en mi vocabulario, me ayuda a generar concentracion";0;0;4;0;0;"Muy básico y tedioso. ";3;3;"Es notable para coordinacion";4;4;"Me ayuda a concentrar y seleccionar adecuadamente";1;1;"Básico, aburrido, tedioso y en el móvil con dificultad al marcar puntos. ";4;4;"El más complejo o uno de los más. En el sexto nivel es para mentes superiores, demasiadas parejas. Hay que tirar del azar en el móvil complicado";3;3;"Conocido y la doble repetición ayuda en exceso. ";4;4;"Me gusta, ";4;4;0;"Solo apropiado para ordenador, demasiados pequeños detalles, algunaspreguntas demasiado revuscadas... ";2;2;"Difícil móvil, me gustaba más recordar las palabras que buscarla en la sopa. ";4;4;"Un verdadero. Desafío en muchas ocasiones. O me era fácil o me era muy difícil y la descartaba. Buscar un término medio lo haría más atractivo y práctico. ";4;4;"Me encanta, es maravilloso y pone en valor el lenguaje, la cultura... ";3;3;;4;4;;4;4;;4;4;;"El futuro es las pantallas de móviles, adaptar bien las pantallas a los móviles...  ";0;2
3;CPDC8828;"2022-07-12 07:50:47";4;1;"Tengo presbicia";1;;4;"Es un juego que ayuda a la memoria";0;"A la hora de resolver las destrezas. Pensaba como resolverlas mejor y mejorando los resultados me animaba";0;0;4;4;2;"Es muy básico";4;2;"Es muy básico";4;2;"Es muy básico";4;4;"Interesante y divertido";4;4;"divertido no se como mejorarlo";4;4;"Uno de los más complicados cuando aumenta el nivel";4;4;"Complicado pero diveritdo";4;4;0;"A la hora de señalar el objeto o la persona no se marcaba. ";4;4;"Ningún comentario";4;4;"Ningún comentario";4;4;"Ningún comentario";4;4;"Interesante no muy complicado";4;4;"Bonito no muy complicado";4;4;Correcto;4;4;"Perfecto para ejercitar la memoria sumando y restando";"No se me ocurre nada.";0;2
4;CPDC2879;"2022-07-12 08:13:52";4;2;"No tengo tableta y el móvil es muy pequeño y me resulta difícil ver bien las imágenes.";1;;4;;0;"He descubierto que tenía deficiencias sobre todo en la capacidad de observar y recordar lo observado y quisiera seguir mejorando. Hubo actividades que hicieron que despertaran rincones de mi mente que parecían haberse quedado dormidos.";0;1;4;3;2;"No he visto gran diferencia en la progresión de los niveles. Me gustaría que se fuera complicando más.";3;3;"Tampoco aquí he visto gran diferencia en los diferentes niveles. Lo iría complicando más. Por ejemplo, al buscar el 9, que haya cerca 6, b...algo que pueda confundir y sea necesario forzarse más.";4;4;"Lo veo perfecto tal como está";4;4;"Lo veo perfecto tal cual está";4;4;"Lo veo perfecto tal como está";4;4;"Este ejercicio me costó bastante más en el nivel 6, pero lo dejaría así. Con práctica se consigue.";4;4;"Me gustaría que no sólo fuera un ejercicio con cartas, también otras imágenes, porque cuando se hacen varios seguidos se confunden las cartas de un ejercicio y del anterior.";4;4;0;"Había escenas que me gustaban más y las he usado más. Está muy bien la progresión. sugeriría que cada cierto tiempo desaparecieran algunas escenas y se pusieran otras en su lugar, porque cuando esté todo aprendido bien el ejercicio resultará menos atractivo.";4;4;"Está muy bien tal como es";4;4;"Me encantó este ejercicio, hay alguna palabra que aún tengo pendiente de encontrarle solución.  Está muy bien tal como es.";3;4;"Me estresaba un poco tener un contador de tiempo y eso hacía que usara la misma palabra en singular y en plural, para llegar a tiempo. Me gustaría que no hubiese tiempo para hacerlo y no se pudiese usar la misma palabra en singular y plural.";4;3;"No vi gran diferencia en los niveles.  Si se conoce el refrán es fácil. ";4;4;"Está perfecto tal como es.";4;4;"Perfecto tal como es.";4;4;"Me encantó el ejercicio, aunque me gustaría que en lugar de colores para las operaciones, hubiese signos matemáticos e incluir todos: suma, resta, multiplicación, división.";"Hay ejercicios que están perfectos tal como se han presentado y otros en los que propongo cambios, no sé si son viables, y están expuestos en el apartado de cada uno.";0;2
5;CPDC7205;"2022-07-12 08:23:27";3;2;"Accesible y más sencillo";1;;2;;0;;0;0;3;3;2;"no aprecio un gran aumento de dificultad entre los niveles";3;3;;3;3;;3;3;;3;2;;3;3;;3;3;;3;3;;;3;3;"yo quitaría los acentos.-A veces las palabras comparten demasiadas letras unas con otras";3;3;;3;3;"Quiza es demasiado largo";3;3;;3;3;;3;3;;3;3;;;0;2
6;CPDC8331;"2022-07-12 10:06:35";2;0;"Porque siempre lo tienes a mano y puedes hacer los ejercicios en cualquier lugar. A veces no puedo contar con un ordenador.";0;"Juegos como del tipo Brain training.";3;"Establece una rutina";0;"En atención";0;1;4;4;4;"Me ha parecido muy fácil y accesible para todas las personas";4;4;"A veces se producen fallos porque las pantallas táctiles son demasiado sensibles y se te va el dedo ";4;4;;4;4;;1;2;"No he entendido la ejecución del ejercicio. Si es como un memory, deberían enseñarte las parejas en sus lugares correctos ,luego cubrir e intentar hacer las parejas. Puede ser frustrante para algunas personas.";2;3;;4;4;;1;3;1;"Este ejercicio es de los que mas me ha costado . A la hora de colocar objetos y personajes hay que ser demasiado exacto para que no de error.";4;4;"A medida que se van encontrando las palabras se ve casi todo azul y entorpece la búsqueda del resto de las palabras.";1;2;"No entiendo como cuenta los errores, aunque encuentres la palabra a la primera cada vez mueves una letra lo contabiliza como error. Esto puede ser frustrante.";4;4;;4;4;;1;3;"Este ejercicio me ha parecido de los mas difíciles , me ha costado mucho en ocasiones encontrar la secuencia.";4;4;;2;3;;"Creo que esta plataforma requiere cierto control del ordenador o móvil del  que algunas personas mayores carecen. A algunos ejercicios hay que darles una vuelta.";0;2
7;CPDC2499;"2022-07-12 10:12:47";3;0;"comodidad y uso en distintos sitios";1;;3;"vi en qué ejercicios fallaba y quería mejorar";0;"en la atención a los detalles, recordar cosas que hice en días anteriores";0;0;4;4;1;"los niveles eran parecidos, no noté aumento en la dificultad";4;3;;4;3;;4;2;"no vi aumento de dificultad de un nivel a otro. se podría aumentar el nivel de dificultad poniendo circulos de distintos colores";3;4;"las tarjetas ocupan demasiado en el móvil y no se veían todas las filas. en algún ejercicio las parejas estaban en filas muy alejadas y se perdía mucho tiempo en buscarlas y tb perdías a veces la referencia de la fila donde se encontraba la pareja ";3;4;"la explicación al principio del ejercicio no es completa. Tendría q avisar q se repetirá la secuencia dos veces antes de iniciar la respuesta, o q son visual y acústico para poder ponerte auriculares y escuchar mejor, con ruido de fondo no se oía bien.";4;4;;2;4;1;"cuando se quería colocar un objeto no se colocaba si no se acertaba ""exactamente"" el lugar, ni por fallos de 2mm. Eso en móvil al intentarlo con un dedo es casi imposible de atinar y te lo da como fallo. Además en el móvil aún girando la pantalla el botón SALIR ocultaba parte de la imagen y los objetos ahí y en la parte inferior era imposible de situarlos, por tanto daba error";4;3;"siempre había alguna palabra más de las que ponían para buscar. Creo q ocurre en casi el 100% de las sopas de letras. Además, a veces iniciabas en una letra que veías la palabra y te la daba como errónea en rojo, y no era verdad. lo intentabas un rato después y era válido. Dificulta q tengas q marcar una a una las letras en vez de arrastrar el puntero sobre la palabra para designarla";3;3;"dificulta tener q marcar continuamente la palabra y luego marcar el lugar donde tiene q ir, o para tener q sacarla. En niveles bajos la palabra era complicada, con muchas letras y pocas variantes";4;4;"lo mismo q el anterior, tener q marcar letra y lugar continuamente. debería bastar con marcar la letra y añadirlo automáticamente al hueco libre siguiente";4;3;;4;4;"Explicar mejor al inicio como puede ir la secuencia,";4;4;;4;3;"creo q a no mucha gente le puede resultar fácil de hacer. con las calculadoras y móviles se ha perdido la costumbre del cálculo de dos cifras y sobre todo mujeres mayores con bajo nivel de estudios puede serle muy complicado. Y mujeres mayores son una de las poblaciones mas grandes y candidatas a usar esto";"Revisar el perfil o dar opción a ello x medio de teléfono o mail; en concreto en mi caso el perfil no era correcto. Figuraba sin nivel de estudios y soy licenciada, aunque trabajo de administrativo. Si se retoma en octubre me gustaría rectificar el perfil.  No me llegó en ningún momento la valoración inicial ni al mail ni por teléfono como a algunas compañeras.  No me facilitaron teléfono de contacto para corregir lo anterior.  Tampoco para solicitar un retraso en realizar las pruebas o adaptación ya q un par de semanas no pude completarlo por enfermedad y trabajo.  Avisar q al día X, el nivel en el que se está trabajando desaparecerá aunque esté incompleto.";0;2
8;CPDC8422;"2022-07-12 11:34:57";4;0;"Por disponibilidad aunque no facilita bien el desarrollo de los ejercicios (pantalla y teclado  pequeños) ";1;;2;"Habitualmente ya hacia estimulación cognitiva con pasatiempos diversos";0;Atención;0;0;4;4;4;;4;4;;4;4;;4;4;;3;3;"Que no penalice cada vez que descubres una carta por primera vez.";4;4;"En el nivel 6, repetía la secuencia de colores cuando lo tenias que ejecutar, hecho que creo invalida los resultados";3;3;;2;2;1;"Estresante sobre todo en el nivel 6 cuando empiezan a desaparecer objetos y personajes.  Creo que hay demasiada información en las imágenes. ";4;4;"Cuando se hace con el móvil, marca muchos errores por el teclado del mismo.";4;4;"Muy interesante";4;4;;4;4;;4;3;"De los más complicados para una PMAE, creo yo.";4;4;;4;4;;"El aspecto negativo que significaría es la época cuando se ha iniciado este estudio ya que estando con periodos de vacaciones resultaba difícil cumplir los plazos por mala accesibilidad al programa (falta de cobertura)";0;2
9;CPDC8464;"2022-07-12 11:54:09";2;0;"Por ser el dispositivo más disponible.";1;;2;"Porque sacaba tiempo para dedicarle y tenía minmnete concentrada en ello exclusivamente ";0;"Soy más observadora.";0;1;3;4;4;;3;3;"El en teléfono móvil, las fichas son muy pequeñas y hay errores involuntarios.";4;4;"Con el móvil te dejas los ojos.";4;4;"Con el móvil te dejas los ojos.";2;1;"Da error cada vez que destapas ficha, pero tienes que destapar al menos una vez todas.";1;1;"No me quedo claro que el ejemplo lo repite 2 veces, por lo que fallé un montón. ";3;3;;1;1;0;"Con el móvil siempre había que elegir algo que estaba justo en el botón de salir, por lo cual no he terminado muchos intentos. Y tienes que ser muy exacto al elegir el lugar donde van las cosas o personajes tanto en movil como ordenador , pues un mm. más allá,  no lo reconoce.";3;3;;2;2;"Muy difícil. ";4;4;"Me encanta, pero al final son muchas palabras y le daba a salir sin querer y por eso he fallado mucho.";3;3;"Algunos refranes no eran nada fáciles ni conocidos.";3;3;;3;3;;3;3;"El último nivel he escrito los números para poder hacerlo.";"Me ha gustado bastante. Habría que mejorar la aplicación para el teléfono móvil.";0;2
10;CPDC5910;"2022-07-12 12:25:35";2;1;"m eresulto el mas facil y comodo de utilizar";1;;2;"han sido pocas semanas";0;"Me he dado cuenta, que necesito mejorar mi atencion, tanto en los ejercicios coo en mi vida diaria";0;0;4;2;1;"Este me parecio muy basico, en todos sus niveles";4;4;"Este es muy entretenido, no seme ocurre como mejorarlo";4;4;"Este es uno de mis favoritos, no sabria decir como mejorarlo";3;3;ninguno;4;4;"No me gusta la forma en que clasifica los errores, tanto en niveles bajos como superiores, tienes que descubrir las cartas y que se consideren fallos simpre....";0;0;"Segun ha ido avanzando los niveles, han aparecido errores. No tenia claro el momento en que debia empezar a reproducir., unas veces me dejaba otras me daba error.... ";3;3;ninguno;0;0;1;"Tener que salir cuando te atascas, si no consigues colocar algun objeto, por ejemplo, sabes que es el correcto pero no consigues colocar, tienes que salir...";3;3;"En los primeros niveles daba error si no ibas por el orden establecido, no entiendo porque, es una sopa de letras y vas colocando segun vas encontrando";2;2;"este no me ha gustado, no tengo comentarios";4;2;"muy largo, demasiado";3;3;"sin comentarios";4;4;"sin comentarios";4;4;"sin comentarios";4;3;"sin comentarios";"Se ha quedado pillada muchas veces, en el movil funciona bastante mal";0;2
11;CPDC3519;"2022-07-12 12:40:29";3;2;"No tengo Tables y el móvil me parece más incómodo para realizar esta tareas.";1;;3;"Lo supongo, el entrenamiento en las destrezas que requiere , mejorará mi rendimiento ";0;"En los logogramas, cálculo mental, atención";0;0;4;4;2;"Realmente en este ejercicio no noté la progresión de dificultad";4;3;"Tampoco noté mucho el aumento de dificultdad";4;3;"Era un poco más complicado  por niveles, si";4;3;"No noté mucho la diferencia aquí ";4;4;"Ninguna, me pareció bien. Las señales de tráfico (camión, tractor, autobús, ...) me resultaron más complicadas";4;4;"Resultó lioso en uno de los niveles porque se repetían 2 veces la secuencia y eso me lió ";4;4;;2;4;0;"A veces al pinchar para colocar el objeto que había sido recortado, fallaba mucho y se cometían errores que realmente no considero tales";4;4;"Bien, sin comentarios";4;4;"En alguna ocasión me resultó muy difícil";4;4;"Me gustó";4;3;"Hubo un refrán que no pude  resolver pero me pareció imposible, sería adecuado dar el resultado correcto al final, para ver el error";4;4;Bien;4;3;"Los últimos niveles, casi no se aprecian diferencias de dificultad";4;4;"Bien, me entrenó en cálculo";"Creo que a veces ha fallado y ha expulsado sin saber porqué y el de las imágenes ha fallado mucho";0;2
12;CPDC4352;"2022-07-12 13:45:33";1;0;"Es con el que puedo estar sin interrupciones ";1;;2;"Se me ha hecho muy repetitivo";1;;0;0;0;2;1;"Este ejercicio creo era muy simple, independientemente del nivel. Mis fallos han sido por culpa de la poca precisión en el móvil ";3;2;"Me ha gustado, no le pongo pegas.";3;3;"También me ha gustado mucho.";2;2;"Está bien,  pero claro,  en el móvil siempre das son querer en la tecla de al lado. No hay mucha variación entre niveles. ";0;1;"No me ha gustado porque daba fallos en las primeras  vueltas de cartas, cuando aún no siquiera has volteado tres. Sería más lógico,  quizá, poner las parejas descolocados y después recordar dónde estaban, o si no,  no penalizar hasta haber volteado suficientes cartas como para haber podido ver parejas para recordarlas después. ";2;2;"Bien,  sin más.";2;3;"Nada que decir,  es un reto de memoria. ";3;3;1;"Dos pegas, las imágenes se quedaban colgadas y al reiniciar puntuará fallo. Y demasiado exquisito a la hora de colocar lo que faltaba, tenía que ser en el punto exacto, si no, fallo, y creo que eso no es muy justo cuando pones el objeto 2mms fuera del lugar exacto que puntúe negativo. ";2;2;"No da tiempo a recordar bien las palabras. Vas con el estrés del tiempo al buscarlas y enseguida cambia la pantalla para marcarlas.";2;3;"Me ha puesto muy nerviosa porque algunas era incapaz de verlas. ";2;2;"Para mi gusto,  demasiadas palabras,  es el ejercicio que más pesado se me ha hecho. ";2;2;"Este ejercicio ni fu ni fa, no me ha disgustado, pero tampoco me ha resultado atractivo.";2;2;"Una vez descubres que los distintos palos van con su propia secuencia,  es sencillo";3;3;"Nada que objetar, está muy bien y obliga a estar pendiente de varias cosas, color, alfabeto, números,  está muy bien. ";3;3;"Es con el que más cómoda he estado,  era el ""desestresante"".";"Creo que los expuestos de cada uno,  pero en general están bien para empezar,  aumentando quizás la dificultad, más adelante, según crea cada cuál que va cumpliendo objetivos.";0;2
