Id,redcap_survey_identifier
rojo3,CPDC8588
rojo6,CPDC2433
rojo9,CPDC2546
rojo12,CPDC1414
rojo15,CPDC6352
rojo18,CPDC7950
rojo21,CPDC9476
rojo24,CPDC8742
rojo27,CPDC1389
rojo30,CPDC1740
rojo33,CPDC2340
rojo36,CPDC4352
rojo39,CPDC2737
rojo42,CPDC4755
rojo45,CPDC2499
rojo48,CPDC8552
rojo51,CPDC2879
rojo54,CPDC7205
rojo57,CPDC6591
rojo60,CPDC7868
verde5,CPDC9076
verde10,CPDC4950
verde15,CPDC9584
verde20,CPDC7827
verde25,CPDC5278
verde30,CPDC1318
verde35,CPDC3519
verde40,CPDC8331
verde45,CPDC8464
verde50,CPDC8422
verde55,CPDC8301
verde60,CPDC3856
verde65,CPDC9032
verde70,CPDC5910
verde75,CPDC9926
verde80,CPDC8105
verde85,CPDC5380
verde90,CPDC8564
verde95,CPDC6950
,
azul7,CPDC8225
azul14,CPDC7195
azul21,CPDC3256
azul28,CPDC2199
azul35,CPDC1938
azul42,CPDC8965
azul49,CPDC2212
azul56,CPDC6384
azul63,CPDC4474
azul70,CPDC6195
azul77,CPDC4808
azul84,CPDC5964
azul91,CPDC1908
azul98,CPDC2986
azul105,CPDC6388
azul112,CPDC8660
azul119,CPDC4236
azul126,CPDC2336
azul133,CPDC8334
azul140,CPDC4554
rojo63,CPDC2560
rojo66,CPDC8756
rojo69,CPDC3251
rojo72,CPDC7124
rojo75,CPDC6858
rojo78,CPDC9043
rojo81,CPDC4678
rojo84,CPDC5597
rojo87,CPDC7421
rojo90,CPDC2292
rojo93,CPDC2947
rojo96,CPDC3104
rojo99,CPDC4913
rojo102,CPDC5538
rojo105,CPDC2285
rojo108,CPDC6233
rojo111,CPDC6646
rojo114,CPDC3302
rojo117,CPDC6259
rojo120,CPDC5698
rojo123,CPDC6722
rojo126,CPDC1978
rojo129,CPDC1346
rojo132,CPDC6527
rojo135,CPDC8200
rojo138,CPDC9685
rojo141,CPDC9968
rojo144,CPDC6359
rojo147,CPDC8665
rojo150,CPDC2272
rojo153,CPDC3120
rojo156,CPDC5851
rojo159,CPDC8796
rojo162,CPDC6496
rojo165,CPDC3447
rojo168,CPDC2882
rojo171,CPDC3660
rojo174,CPDC9089
rojo177,CPDC8508
rojo180,CPDC6928
rojo183,CPDC8828
rojo186,CPDC7373
rojo189,CPDC6785
rojo192,CPDC1111
rojo195,CPDC2551
rojo198,CPDC3670
rojo201,CPDC3753
rojo204,CPDC3895
rojo207,CPDC2507
rojo210,CPDC7304
rojo213,CPDC7622
rojo216,CPDC1307
rojo219,CPDC3481
rojo222,CPDC9233
rojo225,CPDC7550
rojo228,CPDC2378
rojo231,CPDC6196
rojo234,CPDC6029
rojo237,CPDC7395
rojo240,CPDC3013
rojo243,CPDC7628
verde100,CPDC2286
verde105,CPDC2505
verde110,CPDC1444
verde115,CPDC1148
verde120,CPDC3693
verde125,CPDC3524
verde130,CPDC8031
verde135,CPDC2626
verde140,CPDC7535
verde145,CPDC7244
verde150,CPDC3951
verde155,CPDC7284
verde160,CPDC7990
verde165,CPDC7585
verde170,CPDC4186
verde175,CPDC6689
verde180,CPDC2690
verde185,CPDC7662
verde190,CPDC4969
verde195,CPDC3417
verde200,CPDC6267
verde205,CPDC1228
verde210,CPDC3103
verde215,CPDC1549
verde220,CPDC3411
verde225,CPDC4018
verde230,CPDC3491
verde235,CPDC2707
verde240,CPDC7778
verde245,CPDC3836
verde250,CPDC3229
verde255,CPDC3605
verde260,CPDC4551
verde265,CPDC7658
verde270,CPDC1396
verde275,CPDC9197
verde280,CPDC7864
verde285,CPDC7704
verde290,CPDC2970
verde295,CPDC4672
verde300,CPDC8559
verde305,CPDC2621
verde310,CPDC5705
verde315,CPDC4649
verde320,CPDC1698
verde325,CPDC6655
verde330,CPDC4771
verde335,CPDC6693
verde340,CPDC2723
verde345,CPDC8543
verde350,CPDC5727
verde355,CPDC5978
verde360,CPDC1834
verde365,CPDC4677
verde370,CPDC5888
verde375,CPDC2271
verde380,CPDC9816
verde385,CPDC7233
verde390,CPDC5611
verde395,CPDC1192
verde400,CPDC9304
verde405,CPDC1032
verde410,CPDC7446
verde415,CPDC6548
verde420,CPDC7118
verde425,CPDC8409
verde430,CPDC3282
verde435,CPDC5599
verde440,CPDC2679
verde445,CPDC6309
verde450,CPDC4810
verde455,CPDC1854
verde460,CPDC9429
verde465,CPDC2961
verde470,CPDC7136
verde475,CPDC4726
verde480,CPDC4216
verde485,CPDC2293
verde490,CPDC5337
verde495,CPDC8645
verde500,CPDC8305
verde505,CPDC6946
