"Record ID";"Survey Identifier";"Survey Timestamp";"¿Vd. Tiene a alguien con quien pueda hablar de sus problemas cotidianos?";"¿Cree que hay personas que se preocupan por usted?";"¿Tiene amigos o familiares cuando le hacen falta?";"¿Siente que no le hacen caso?";"¿Se siente triste?";"¿Se siente usted solo?";"¿Y por la noche, se siente solo?";"¿Se siente querido?";"¿Utiliza Ud. el teléfono móvil?";"¿Utiliza Ud. el ordenador (consola, juegos de la memoria)?";"¿Utiliza Ud. Internet?";"Durante la semana y los fines de semana ¿le llaman otras personas para salir a la calle?";"¿Le resulta fácil hacer amigos?";"¿Va a algún centro de entretenimiento, deportivo, cultural, de mayores o participa en asociaciones o voluntariado donde se relaciona con otras personas?";"¿Le gustaría participar en las actividades de ocio que se organizan en su barrio/pueblo?";Complete?
1;CPDC6352;"2022-05-12 13:58:51";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Nunca;"A veces";Complete
2;CPDC8588;"2022-05-12 15:09:54";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Siempre;Siempre;Complete
3;CPDC2433;"2022-05-12 15:31:39";Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;"A veces";Complete
4;CPDC8301;"2022-05-13 13:35:47";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Complete
5;CPDC8225;"2022-05-13 15:48:10";Siempre;"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Nunca;Nunca;"A veces";Complete
6;CPDC1414;"2022-05-14 16:54:40";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";Complete
7;CPDC2879;"2022-05-15 08:23:58";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Nunca;Nunca;Complete
8;CPDC7950;"2022-05-15 09:08:58";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Complete
9;CPDC1740;"2022-05-15 09:57:04";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";Nunca;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";"A veces";Complete
10;CPDC5910;"2022-05-15 12:23:21";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Complete
11;CPDC9476;"2022-05-15 17:02:46";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Complete
12;CPDC1389;"2022-05-15 17:54:57";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Siempre;"A veces";Siempre;"A veces";"A veces";Complete
13;CPDC9032;"2022-05-15 18:32:04";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Complete
14;CPDC3256;"2022-05-16 16:33:24";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;Complete
15;CPDC9584;"2022-05-16 17:51:49";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
16;CPDC4352;"2022-05-16 19:21:36";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Siempre;"A veces";Nunca;Nunca;"A veces";Complete
17;CPDC8564;"2022-05-16 21:19:27";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;Siempre;Complete
18;CPDC7205;"2022-05-17 09:23:25";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;Nunca;Complete
19;CPDC8552;"2022-05-17 12:12:24";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Complete
20;CPDC4755;"2022-05-17 12:43:55";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Complete
21;CPDC6591;"2022-05-17 18:28:57";"A veces";"A veces";"A veces";Nunca;"A veces";"A veces";Nunca;"A veces";Siempre;"A veces";Siempre;"A veces";Nunca;Siempre;"A veces";Complete
22;CPDC2737;"2022-05-17 19:28:52";Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Nunca;Nunca;Complete
23;CPDC3856;"2022-05-17 23:01:59";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Complete
24;CPDC6950;"2022-05-18 17:38:30";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
25;CPDC8105;"2022-05-18 18:02:54";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Complete
26;CPDC4950;"2022-05-18 19:25:48";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";"A veces";Complete
27;CPDC9076;"2022-05-19 09:49:16";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Complete
28;CPDC8660;"2022-05-19 22:02:51";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";Complete
29;CPDC8464;"2022-05-20 09:57:15";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;"A veces";Complete
30;CPDC1938;"2022-05-20 10:09:26";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Complete
31;CPDC8334;"2022-05-20 10:10:44";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;Nunca;Nunca;"A veces";Complete
